,closed,volume,ema6,ema12,ema26,macd,wrsi6,K9,D9
5454,129.0,18378270.0,129.2577650372315,128.24856793060025,127.81476351711738,-0.429475698045953,53.60298471371403,77.40802987742337,78.52910030119388
5455,124.5,35523040.0,127.92184335815433,127.74880660883355,127.61747401580065,-0.3173140398301835,35.53737365825583,53.827575473837804,70.2952586920752
5456,127.0,44708932.0,127.57289557210288,127.60317217402796,127.56036062996984,-0.24528892305252178,47.36387607402295,47.78981222065377,62.793443201601384
5457,127.0,24688657.0,127.25693038140192,127.44014347835663,127.48840981227984,-0.20588440522665924,47.36387607402295,43.76463671853109,56.45050770724462
5458,130.0,76377100.0,128.00462025426793,127.78345289863053,127.64314751902755,-0.13664644826073177,60.03404183761251,55.366900669496914,56.08930536132872
5459,133.5,53400609.0,129.54474683617863,128.59037741552544,128.02636694064083,0.0034849363683368438,70.10767492060275,68.49021448141899,60.22294173469214
5460,132.0,25252357.0,130.36316455745242,129.15864784627118,128.33203102213,0.16811131392290615,62.062596189422926,71.97593246129686,64.14060531022704
5461,132.5,30895136.0,131.07544303830161,129.71553987189264,128.6526440204277,0.34706822143131655,63.72754789840903,76.0541304127944,68.11178034441616
5462,133.0,49925004.0,131.88362869220109,130.34628322657719,129.02551755731787,0.5418077109969165,65.54223751172502,76.46032936610534,70.89463001831255
5463,135.0,32541468.0,132.75575246146738,131.03856935548097,129.44663159137033,0.7518337216196611,72.214645790501,82.79173472891871,74.86033158851461
5464,136.0,32054985.0,133.83716830764493,131.8654744629008,129.95073685357264,0.984414499161363,75.10683622945942,85.7500453748347,78.49023618395465
5465,138.5,51617728.0,135.26644553842996,132.908728719084,130.57952632637475,1.25337207787094,81.03047596158268,89.3095540594136,82.0966754757743
5466,137.5,37227089.0,135.96929702561997,133.65310726590334,131.10225507049975,1.5128681013774705,72.72381591216788,88.70636937294239,84.29990677483033
5467,136.5,65521186.0,136.18786468374665,134.14842272158612,131.52708160353825,1.7345627047115495,64.75763323568606,83.69898309073352,84.0995988801314
5468,140.0,73316434.0,137.4585764558311,135.12368560132177,132.17884455711223,1.9766183726111475,75.8625320016091,85.62388346399779,84.60769374142019
5469,137.5,37189898.0,137.3473843038874,135.45723800110147,132.55931805271896,2.1608786877654196,59.73021271053535,78.13522055494589,82.45020267926209
5470,138.0,26173538.0,137.56492286925825,135.88103166758455,132.97783204866366,2.3093428739965143,61.68564265914358,73.65877448761098,79.51972661537839
5471,139.0,28795564.0,137.91828191283884,136.33835972298712,133.41222958338182,2.4327003271182726,65.68473576916469,74.10584965840732,77.7151009630547
5472,138.5,20006939.0,138.15385460855921,136.7194664358226,133.81321192312168,2.5274111642348003,61.813626380613904,68.848344216716,74.7595153809418
5473,137.5,15168792.0,137.97756973903947,136.87038869651883,134.10642639057386,2.5747213925768344,54.153919921932015,55.898896144477334,68.47264230212032
5474,140.0,35666256.0,138.610046492693,137.37115724709903,134.5501628220682,2.623975999067637,66.5783618672494,63.93259742965156,66.9592940112974
5475,140.0,24412462.0,139.03169766179533,137.78846437258252,134.95976568190912,2.6649205373887908,66.5783618672494,69.28839828643437,67.73566210300972
5476,139.0,26557567.0,138.97946510786355,137.96955364381878,135.2609375525315,2.673659648168492,57.58885963311317,66.19226552428958,67.22119657676967
5477,138.0,22557317.0,138.6529767385757,137.97462803651567,135.47163466387522,2.6395263930628827,49.55902599251453,58.94299183100787,64.46179499484907
5478,136.5,20463741.0,138.18531782571714,137.8538566970964,135.60843199742328,2.560706054384931,39.616135018807896,39.29532788733858,56.07297262567891
5479,136.5,28293017.0,137.66521188381142,137.64904724758034,135.68662953608302,2.4410483858074095,39.61613501880789,29.900588961929426,47.34884473776241
5480,137.5,22789011.0,137.52680792254094,137.58253937298363,135.80688880253817,2.3079688227350204,49.36797271718643,33.267059307952955,42.65491626115926
5481,139.5,36442564.0,138.10120528169395,137.86044947748636,136.07174351003522,2.2041162516782435,63.51091507155422,48.844706205301975,44.7181795758735
5482,144.5,75685074.0,139.94247018779598,138.82120789790528,136.6527632400325,2.1969819329171516,80.14722348502673,65.89647080353465,51.77760998509388
5483,142.5,37827858.0,140.96164679186398,139.5176732482544,137.14101222156845,2.2329177516709118,65.75673682362716,69.85690646161571,57.80404214393449
5484,140.0,51889334.0,140.89109786124266,139.723061040212,137.41862666606318,2.2472210761664946,51.804451770234934,63.23793764107714,59.61534064298204
5485,142.0,24863486.0,141.21906524082843,140.08171753351,137.76142461482755,2.261835444669684,59.96026879278771,66.2326991681255,61.82112681802986
